LS, 1544990406, 1544997111, 45, -506
CGK, 1544990272, 1544997966, 1, 790
RU, 1544990341, 1544998311, 52, 836
GX, 1544990891, 1544998820, 64, -976
P, 1544990805, 1544999053, 27, 312
KQ, 1544998583, 1544999068, 17, -656
V, 1544994429, 1544999171, 72, -983
OQ, 1544998695, 1544999988, 34, 984
DE, 1545000094, 1545000364, 8, 594
OTWF, 1544995537, 1545000675, 88, 422
Y, 1544995042, 1545001206, 13, 462
SSG, 1544997480, 1545001473, 79, 554
WBRA, 1544996239, 1545002280, 83, 286
ZUA, 1545002397, 1545003150, 51, 126
SNVM, 1544999016, 1545003530, 65, 67
XL, 1544996198, 1545003736, 47, 136
NM, 1545002614, 1545004237, 45, 875
YK, 1545001275, 1545004724, 99, -5
B, 1545001771, 1545005142, 56, -605
CZ, 1545003948, 1545005914, 43, 832
K, 1545006116, 1545006150, 32, 491
VU, 1544996542, 1545006229, 59, -397
WVZ, 1544997486, 1545006742, 23, 238
FLMH, 1545005886, 1545007386, 89, 843
EJDG, 1545007064, 1545007911, 2, -48
NW, 1544999078, 1545007953, 45, 725
P, 1545004702, 1545007962, 56, -298
FSN, 1545000067, 1545008460, 71, -834
L, 1545001484, 1545008978, 69, -613
P, 1545008335, 1545009470, 94, 810
NXBS, 1545007051, 1545010092, 51, 45
KCFL, 1545000334, 1545010243, 84, -603
RJQG, 1545005244, 1545010435, 73, 289
NF, 1545006940, 1545010622, 87, 395
W, 1545007011, 1545011427, 81, -440
N, 1545008244, 1545012203, 82, 805
ZW, 1545003703, 1545013132, 54, 671
ZS, 1545005637, 1545013837, 4, 320
ZYYN, 1545004419, 1545014344, 51, -457
P, 1545015178, 1545015343, 5, 798
DH, 1545013055, 1545015467, 25, -780
MZ, 1545010698, 1545015647, 23, 295
AVGR, 1545014682, 1545016402, 94, -712
J, 1545006906, 1545016651, 89, 221
RP, 1545013683, 1545017018, 21, 854
FI, 1545008512, 1545017830, 54, 661
OGJX, 1545015068, 1545018589, 92, 34
SDG, 1545012317, 1545019277, 44, 229
FZMD, 1545013545, 1545019487, 39, 490
CEU, 1545019337, 1545019822, 37, -222
M, 1545018651, 1545019846, 43, -380
R, 1545020345, 1545020636, 32, 644
PQAH, 1545011309, 1545020884, 40, 543
SPL, 1545018766, 1545021287, 43, -572
J, 1545016440, 1545021840, 28, 514
H, 1545013149, 1545022613, 47, 825
KGR, 1545017717, 1545023377, 15, 260
FR, 1545014828, 1545024017, 61, -2
MJFK, 1545020911, 1545024675, 61, -588
X, 1545022939, 1545024928, 61, 180
NMZM, 1545018793, 1545025010, 16, -610
O, 1545017121, 1545025494, 67, 863
HDXZ, 1545020715, 1545026338, 41, 739
I, 1545018926, 1545027020, 76, 841
DQL, 1545021081, 1545027504, 92, -851
V, 1545018401, 1545027680, 8, -696
OJXW, 1545024944, 1545028254, 87, -398
GE, 1545024252, 1545028396, 95, 965
ZS, 1545026770, 1545029198, 68, -491
LDYT, 1545019599, 1545029294, 74, 123
FSN, 1545025401, 1545029737, 69, -849
HFPG, 1545023235, 1545030177, 8, 319
TY, 1545023120, 1545030733, 52, 613
OD, 1545024387, 1545031246, 11, 999
A, 1545022951, 1545031514, 78, 109
FXFH, 1545022109, 1545031755, 67, 560
P, 1545030107, 1545031962, 51, -539
W, 1545025737, 1545032102, 80, -651
G, 1545029174, 1545032550, 30, 23
T, 1545025400, 1545032591, 87, 169
NWB, 1545024361, 1545033001, 74, -881
T, 1545027079, 1545033588, 14, -273
E, 1545033849, 1545034063, 30, -559
POK, 1545031963, 1545034434, 30, -749
ZFTM, 1545026459, 1545035310, 93, 140
EKYT, 1545030613, 1545036240, 27, 490
OWK, 1545035824, 1545036762, 9, 997
BZP, 1545032678, 1545037105, 45, 154
LP, 1545032625, 1545037594, 44, -422
IPXE, 1545037611, 1545038020, 8, -504
FTX, 1545034553, 1545038814, 74, -889
Q, 1545030007, 1545039339, 18, -989
SH, 1545035564, 1545039363, 40, 387
VB, 1545030410, 1545039745, 30, -616
Q, 1545032747, 1545040673, 71, -936
Q, 1545036569, 1545041052, 64, 233
VHOQ, 1545037043, 1545041941, 3, -386
OGJX, 1545038549, 1545042037, 4, -812
Z, 1545039742, 1545042446, 45, 709
V, 1545041530, 1545042556, 74, 853
FWJ, 1545035619, 1545043049, 88, -345
E, 1545035945, 1545043050, 71, -967
L, 1545040208, 1545043127, 55, -243
OBLD, 1545040090, 1545043661, 9, 636
T, 1545034679, 1545043694, 21, 378
ZV, 1545040913, 1545044352, 86, 925
KTRZ, 1545037577, 1545044629, 71, -909
DEC, 1545038684, 1545044775, 69, 595
VRQG, 1545038802, 1545045160, 2, 138
EQFU, 1545038126, 1545045277, 7, -956
RY, 1545045871, 1545046029, 92, 320
YNWA, 1545041228, 1545046620, 19, 634
LDB, 1545038779, 1545047277, 75, -825
XFH, 1545041874, 1545047648, 51, -512
X, 1545041953, 1545048573, 29, 888
QF, 1545040108, 1545048970, 63, -474
S, 1545047173, 1545049912, 84, -143
L, 1545042371, 1545050173, 6, 14
XZ, 1545046605, 1545050780, 87, 892
XONA, 1545042457, 1545051315, 92, -357
QY, 1545049801, 1545051855, 82, -328
PDZ, 1545044676, 1545051945, 98, 558
FBH, 1545043605, 1545052650, 92, -152
MKPQ, 1545052920, 1545053033, 32, 823
FZ, 1545048394, 1545053624, 1, 403
LEKU, 1545046292, 1545054132, 34, 456
PFTL, 1545045057, 1545054643, 31, -583
M, 1545050897, 1545055380, 50, 639
YDN, 1545047919, 1545055914, 28, -268
AYV, 1545051726, 1545056616, 45, -925
QQ, 1545051497, 1545057140, 2, -330
VK, 1545055127, 1545057157, 13, -485
GXW, 1545053620, 1545057463, 26, -132
JDAJ, 1545052294, 1545058209, 72, 144
TCX, 1545054053, 1545059144, 50, 652
O, 1545057455, 1545059935, 63, 729
WLG, 1545056650, 1545059954, 31, 792
NFBB, 1545051474, 1545060901, 97, 491
P, 1545058188, 1545061435, 25, 438
KU, 1545056116, 1545061585, 84, 473
YLE, 1545054004, 1545061696, 88, 732
HSSD, 1545061084, 1545061711, 19, 766
RGO, 1545056811, 1545062480, 26, 764
IBG, 1545062663, 1545063456, 36, 227
H, 1545058123, 1545064259, 97, 474
QP, 1545062222, 1545064869, 78, -906
M, 1545061043, 1545065114, 90, 548
LTP, 1545060875, 1545065363, 44, 999
LO, 1545058719, 1545066247, 10, -850
JN, 1545066557, 1545067214, 36, 275
AN, 1545065380, 1545067284, 23, -892
Y, 1545059828, 1545067781, 15, -542
OU, 1545065727, 1545068531, 15, 162
JCO, 1545062218, 1545068893, 48, 236
OJPT, 1545063012, 1545069420, 36, 616
ZIOE, 1545064281, 1545069471, 89, 343
MCA, 1545060988, 1545070015, 15, -511
R, 1545068270, 1545070069, 84, -25
KBX, 1545067478, 1545070523, 21, 427
LEZC, 1545065022, 1545071126, 51, 298
PTB, 1545065615, 1545071425, 74, 611
OT, 1545063519, 1545071854, 42, -489
OX, 1545063866, 1545072832, 47, 119
FC, 1545072323, 1545073679, 89, -300
X, 1545065638, 1545073861, 99, 703
EL, 1545069768, 1545074083, 64, 506
J, 1545074465, 1545074523, 25, 937
GH, 1545073897, 1545075486, 34, 939
ZYPG, 1545068098, 1545075706, 59, -496
T, 1545067942, 1545076263, 65, 945
NXQV, 1545069603, 1545076731, 17, -445
NRB, 1545071368, 1545077208, 89, -144
HU, 1545076303, 1545078206, 66, -877
DV, 1545072707, 1545079178, 50, -620
RS, 1545071900, 1545079866, 92, 97
DHCK, 1545077957, 1545080287, 74, -872
GBE, 1545072856, 1545080677, 67, 92
HI, 1545072976, 1545081404, 97, -105
ZNHT, 1545079111, 1545081783, 91, 834
DC, 1545080862, 1545081813, 53, -86
MTR, 1545079439, 1545082723, 46, -608
HG, 1545075545, 1545083394, 61, -745
IA, 1545075246, 1545083638, 82, 217
YMF, 1545078654, 1545083854, 12, -330
WP, 1545077229, 1545083984, 6, -405
DICM, 1545075545, 1545084405, 2, 491
HPS, 1545077678, 1545084731, 29, -501
VF, 1545081566, 1545084793, 47, -945
SPNS, 1545083449, 1545085735, 84, -304
TYYV, 1545081877, 1545086275, 30, -489
T, 1545077030, 1545086785, 20, -219
VSI, 1545084295, 1545087020, 17, 598
BRTP, 1545080062, 1545087805, 86, -985
HE, 1545082825, 1545088344, 58, 399
XJBM, 1545088780, 1545089237, 10, -439
XG, 1545081823, 1545090138, 71, 299
RZDE, 1545085278, 1545091119, 75, -683
Y, 1545086338, 1545091469, 89, 130
N, 1545090648, 1545092258, 67, 861
VH, 1545088824, 1545092426, 83, 150
CMQY, 1545084792, 1545093414, 60, 313
JQU, 1545085041, 1545093878, 91, -467
OZLK, 1545088632, 1545094281, 51, 885
LF, 1545094285, 1545094482, 71, -202
KM, 1545087955, 1545094507, 2, -949
J, 1545091534, 1545095239, 16, -977
NUKB, 1545085826, 1545095780, 14, 82
IPR, 1545086080, 1545095899, 10, -70
NN, 1545090347, 1545096365, 63, 563
U, 1545090097, 1545096589, 73, 631
W, 1545090230, 1545096737, 44, -695
SEH, 1545088573, 1545097070, 58, 694
H, 1545089938, 1545097164, 90, -378
QY, 1545093246, 1545097572, 97, -850
XRU, 1545088575, 1545097791, 25, -491
QJKJ, 1545097965, 1545098215, 23, 511
FI, 1545091917, 1545098298, 35, 888
OJI, 1545093604, 1545099188, 98, -84
HVY, 1545095401, 1545099457, 25, 8
EIHW, 1545093177, 1545100201, 32, 79
VI, 1545094206, 1545100993, 66, 639
IJ, 1545097155, 1545101220, 19, -607
MWN, 1545095336, 1545101528, 82, -476
KSJN, 1545098214, 1545101984, 95, 8
MJKX, 1545098306, 1545102833, 51, 82
N, 1545096941, 1545103646, 74, -590
WD, 1545097308, 1545104367, 69, 787
ZH, 1545094961, 1545104771, 53, -808
